CustomerSegmentType,Code,Corporatenummer
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,991028-3044
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,490701-1813
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,400612-8989
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,610301-8039
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,420105-3768
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,460421-4769
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,460207-0312 
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,430909-6172
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,610508-8667 
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,650301-4257
PRIVATE_INDIVIDUAL,NATIONAL_ID_NUMBER,350607-8884
